,location
0,['São Paulo - Brasil']
1,"['Itatira, Brasil']"
2,"['Ibaté, Brasil']"
3,"['Embu, São Paulo, Brasil']"
4,[None]
5,[None]
6,[None]
7,"['São Leopoldo, Brasil']"
8,"['Goiânia, Brasil']"
9,['Manaus']
10,['Brazil']
11,[None]
12,"['Barbacena, Brasil']"
13,[None]
14,[None]
15,[None]
16,[None]
17,"['Guarujá, Brasil']"
18,['Brasil']
19,['Ilha Florianópolis']
20,"['Salvador, Brasil']"
21,[None]
22,"['Porto Alegre, RS - Brasil']"
23,[None]
24,"['Minas Gerais, Brasil']"
25,['Cabrobo-Pe']
26,[None]
27,"['São Paulo - SP, BRASIL']"
28,"['Rio de Janeiro, Brasil']"
29,[None]
30,"['Pernambuco, Brasil']"
31,['021']
32,[None]
33,[None]
34,"['“Por mim, por tu, por nós”']"
35,['Brasil']
36,[None]
37,['Brasil  Venezuela  Cuba']
38,[None]
39,[None]
40,[None]
41,"['Portland, Oregon']"
42,[None]
43,['Goiânia-GO']
44,['Brazil']
45,[None]
46,[None]
47,[None]
48,"['São Paulo, Brasil']"
49,[None]
50,"['Manaus, Brasil']"
51,['BRASIL']
52,"['Cambé, Brasil']"
53,['uru ']
54,[None]
55,[None]
56,['Brasil']
57,[None]
58,[None]
59,"['-21.136246,-44.25931 BH!']"
60,['Arequipa - Perú']
61,[None]
62,[None]
63,[None]
64,"['Campinas, Brasil']"
65,[None]
66,"['Camaragibe, Brasil']"
67,['nara']
68,[None]
69,['Natal-RN']
70,"['Campinas, Brasil']"
71,['Venezuela']
72,[None]
73,['Metânia']
74,['Revere MA']
75,"['Florianópolis, Brasil']"
76,"['Guiratinga, Brasil']"
77,"['Paraná, Brasil']"
78,[None]
79,"['São Luís, Brasil']"
80,[None]
81,['United States']
82,['São Paulo']
83,['BH • MG • Brasil']
84,[None]
85,['Paracambi/RJ']
86,[None]
87,[None]
88,"['Belém, Brasil']"
89,"[""·  97' ⠀≀ ⠀𝗯𝗮𝗯𝗶𝗲 ⋆""]"
90,[None]
91,['BH/MG']
92,['Brasil']
93,['Floripa ☀️🌊✌']
94,[None]
95,['Cabo Frio']
96,"['Rio de Janeiro, Brasil']"
97,[None]
98,[None]
99,['Serrinha-BA']
100,['@saofrancisco']
101,"['Rio de Janeiro, Brasil']"
102,[None]
103,"['Serrinha, Brasil']"
104,[None]
105,['Brasil']
106,['São Paulo/SP.']
107,[None]
108,"['Florianópolis, Brasil']"
109,[None]
110,['Entre PR e RS']
111,[None]
112,"['Joinville, Brasil']"
113,[None]
114,[None]
115,['Brazil']
116,"['São Paulo, Brasil']"
117,[None]
118,['Recife | PE']
119,['São Paulo']
120,"['Feira de Santana, Brasil']"
121,"['Curitiba, Paraná, Brasil.']"
122,[None]
123,['Brasil']
124,['Belo Horizonte']
125,[None]
126,['Venezuela']
127,['Santarém - PA.']
128,['127.0.0.1']
129,[None]
130,"['Colar Elizabetano, Quarentena.']"
131,"['São Carlos, Brasil']"
132,[None]
133,[None]
134,"['Limeira, Brasil']"
135,['Brasil']
136,['Brazil']
137,[None]
138,"['Bucaramanga, Colombia']"
139,['Brasil']
140,"['Dois Vizinhos, Brasil']"
141,[None]
142,[None]
143,"['Santos, Brasil']"
144,"['São Paulo, Brasil']"
145,['Itapirapuã-Go ']
146,[None]
147,"['Rio de Janeiro, Brasil']"
148,[None]
149,['sp']
150,[None]
151,[None]
152,[None]
153,[None]
154,['Brotas-SP']
155,['São Paulo']
156,[None]
157,[None]
158,"['São Paulo, Brasil USA MUNDO']"
159,[None]
160,[None]
161,['Goiânia-GO']
162,[None]
163,['Canario city']
164,"['Imperatriz, Brasil']"
165,[None]
166,"['São Paulo, Brasil']"
167,"['Rio de Janeiro, Brasil']"
168,[None]
169,['na sua']
170,[None]
171,[None]
172,['Brasil']
173,['日本']
174,"['Floripa, SC']"
175,[None]
176,"['Sao Paulo, Brazil']"
177,"['Goiânia, Brasil']"
178,"['Belo Horizonte, Brasil']"
179,[None]
180,['Portugal']
181,['Brazil']
182,['Brasil']
183,"['Distrito Federal, Brasil']"
184,[None]
185,[None]
186,[None]
187,[None]
188,['CARATINGA - MG']
189,[None]
190,['Sao Paulo']
191,[None]
192,"['Pará, Brasil']"
193,[None]
194,['Rio de Janeiro']
195,[None]
196,"['Colar Elizabetano, Quarentena.']"
197,[None]
198,['Rachadela SC']
199,[None]
200,['São Paulo']
201,"['Londrina, PR']"
202,"['Lisboa, Portugal']"
203,[None]
204,[None]
205,['Rio de Janeiro']
206,['Rio de Janeiro']
207,[None]
208,"['João Pessoa, Brasil']"
209,"['Belo Horizonte, Brasil']"
210,"['Anjo da Guarda, São Luís']"
211,['brasilia df']
212,['Brasil']
213,"['Porto Alegre, Brasil']"
214,[None]
215,"['Sorocaba, Brasil']"
216,[None]
217,['Porto Alegre - RS - Brazil']
218,[None]
219,[None]
220,[None]
221,"['Novo Gama, Brasil']"
222,"['Santa Catarina, Brasil']"
223,"['Rio de Janeiro, Brasil']"
224,[None]
225,[None]
226,"['São Paulo, Brasil']"
227,[None]
228,['Brasil']
229,['Petropolis']
230,"['Belo Horizonte, Brasil']"
231,[None]
232,"['Belo Horizonte, Brasil']"
233,[None]
234,['São Paulo']
235,[None]
236,[None]
237,[None]
238,"['Eusébio, Brasil']"
239,[None]
240,['RJ/ES']
241,[None]
242,['Minas Gerais']
243,[None]
244,"['Barreiras, Brasil']"
245,"['Uberlândia, Brasil']"
246,[None]
247,['Hogwarts']
248,[None]
249,[None]
250,[None]
251,[None]
252,['Tired City (#ForaBol卐onaro)']
253,[None]
254,[None]
255,"['Fortaleza, Ce']"
256,['São José Santa Catarina']
257,"['Recife, Brasil']"
258,[None]
259,['Ilha da Magia']
260,"['São João Evangelista, Brasil']"
261,[None]
262,['Recife']
263,['Araras']
264,[None]
265,"['São Paulo, Brasil']"
266,['Pelo mundo']
267,[None]
268,[None]
269,"['New York, NY, Porto Alegre']"
270,['Brasil']
271,['gyn']
272,[None]
273,[None]
274,"['Rio de Janeiro, Brasil']"
275,['Rio de Janeiro']
276,"['Taubaté/SP, Brasil']"
277,[None]
278,[None]
279,['La Habana']
280,['São Paulo']
281,[None]
282,"['Osasco, Brasil']"
283,"['Caracas, Venezuela']"
284,['Brasil']
285,"['Brasília, Brasil']"
286,"['Olinda, Brasil']"
287,[None]
288,[None]
289,['United States']
290,[None]
291,"['Here, there and everywhere']"
292,"['Rio de Janeiro, Brasil']"
293,[None]
294,[None]
295,[None]
296,[None]
297,[None]
298,['Brasil']
299,[None]
300,"['São Paulo, Brasil']"
301,[None]
302,['bieber & bts ']
303,[None]
304,['Goiânia']
305,"['Hawkins, Indiana']"
306,"['Rio de Janeiro, Brasil']"
307,"['São João de Meriti, Brasil']"
308,"['Irecê, Brasil']"
309,['São Luís do Maiobão']
310,"['Curitiba, Brasil']"
311,['Between betel nut & betelgeuse']
312,"['São Paulo, Brasil']"
313,['B']
314,"['Assis, Brasil']"
315,['Recife']
316,[None]
317,"['São Paulo, Brasil']"
318,[None]
319,"['Brasília-DF, Brasil']"
320,['vila velha-ES']
321,"['Rio de Janeiro, Brasil']"
322,[None]
323,['Santos/SP']
324,[None]
325,['Brasil']
326,"['Itaboraí, Brasil']"
327,"['São Paulo, Brasil']"
328,[None]
329,[None]
330,[None]
331,[None]
332,"['Fortaleza, Brasil']"
333,[None]
334,[None]
335,['Santa Bárbada d´Oeste - SP']
336,['Natal']
337,"['Barreiras, Brasil']"
338,['Brasília Df']
339,"['Florianópolis, SC']"
340,[None]
341,[None]
342,['Japão']
343,"['Rio de Janeiro, Brasil']"
344,[None]
345,[None]
346,[None]
347,[None]
348,['Ridijaneru - Brazil ']
349,['São Paulo']
350,['caracas']
351,['Rio de Janeiro']
352,"['São Luís, MA, Brasil']"
353,[None]
354,[None]
355,[None]
356,"['Campinas, Brasil']"
357,"['São Paulo, Brasil']"
358,['Brasil']
359,[None]
360,['Entre PR e RS']
361,['Brasil ']
362,['São Paulo - Brasil']
363,[None]
364,"['Pindaré-Mirim, Brasil']"
365,[None]
366,[None]
367,['bxd']
368,['Camboriu']
369,"['Curitiba, Brasil']"
370,[None]
371,['Brasil; São Paulo; SP']
372,[None]
373,['Brasil']
374,"['Belo Horizonte, Brasil']"
375,[None]
376,[None]
377,['Rio Branco / Acre']
378,"['Porto Alegre, Brasil']"
379,[None]
380,['Rio Grande RS']
381,"['São Paulo, Brasil']"
382,['Brazil']
383,[None]
384,[None]
385,[None]
386,['Santo amaro-BA']
387,['Bahía Blanca ']
388,[None]
389,"['Rio de Janeiro, Brasil']"
390,"['São Paulo, Brasil']"
391,[None]
392,[None]
393,"['São Paulo, Brasil']"
394,[None]
395,['ele/ela ']
396,['Istambul']
397,"['Belo Horizonte, Brazil']"
398,[None]
399,[None]
400,"['Campos do Jordão, Brasil']"
401,[None]
402,[None]
403,[None]
404,['Curitiba  Paraná']
405,[None]
406,['Manaus']
407,['Brasil']
408,[None]
409,[None]
410,[None]
411,"['Indaiatuba, Brasil']"
412,[None]
413,[None]
414,[None]
415,[None]
416,[None]
417,[None]
418,[None]
419,['Brasil']
420,[None]
421,"['São Paulo, Brasil']"
422,"['Goiânia, Brazil']"
423,[None]
424,[None]
425,[None]
426,"['Santiago, Chile']"
427,"['Menino Deus, Porto Alegre']"
428,[None]
429,[None]
430,"['Osasco, Brasil']"
431,"['Manaus, Amazonas']"
432,[None]
433,[None]
434,"['Rio de Janeiro, Brasil']"
435,[None]
436,[None]
437,[None]
438,['Brasil']
439,"['Torino, Piemonte italia ']"
440,"['Porto Alegre, Brasil']"
441,"['Goiânia, Brasil']"
442,['Rio de Janeiro']
443,[None]
444,[None]
445,['Brasil']
446,"['Piracicaba,SP, Brasil']"
447,['Brasil']
448,['BRASIL!']
449,[None]
450,['complexo de santa margarida 🤪']
451,[None]
452,[None]
453,['Ilha da Magia']
454,['Curitiba']
455,"['São Paulo, Brasil']"
456,"['Poços de Caldas, Brasil']"
457,[None]
458,"['Ji-Paraná, Brasil']"
459,"['Itajubá, Brasil']"
460,"['Fortaleza, Ceará']"
461,[None]
462,[None]
463,[None]
464,"['Rio de Janeiro, Brasil']"
465,['Brasil 💛👊💛']
466,"['Itajai, Santa Catarina']"
467,"['São José, Brasil']"
468,[None]
469,"['Guarulhos, Brasil']"
470,['Brasil']
471,"['Rio de Janeiro, Brasil']"
472,[None]
473,[None]
474,"['Florianópolis, Brasil']"
475,['Brazil']
476,['Brasil']
477,"['Salvador, Brasil']"
478,"['Curitiba, Brasil']"
479,['Rio de Janeiro']
480,[None]
481,"['Fortaleza, Brasil']"
482,[None]
483,[None]
484,[None]
485,[None]
486,[None]
487,"['Porto Alegre, Brasil']"
488,['Brasil']
489,['BellHell']
490,['Chile']
491,"['Campo Grande, Rio de Janeiro']"
492,[None]
493,['SANTARÉM/TAPAJÓS/PARÁ/BRASIL']
494,['São Luiz MA / Cruz Alta RS']
495,[None]
496,"['Rio de Janeiro, Brasil']"
497,[None]
498,"['Bogotá, D.C., Colombia']"
499,"['Espírito Santo, Brasil']"
500,[None]
501,"['Caracas, Venezuela']"
502,[None]
503,[None]
504,"['Taquaritinga, Brasil']"
505,['Konohatron']
506,"['Rio das Ostras, Brasil']"
507,['São Paulo']
508,"['MG, Brasil']"
509,[None]
510,['Pelo mundo']
511,[None]
512,[None]
513,['Brasil']
514,['Santa Ana de Coro']
515,"['Cabo Frio, Brasil']"
516,[None]
517,"['São Paulo, Brasil']"
518,"['Vila Velha, ES ']"
519,[None]
520,[None]
521,[None]
522,['Brazil']
523,"['São João Evangelista, Brasil']"
524,[None]
525,[None]
526,[None]
527,[None]
528,[None]
529,"['Santos, Brasil']"
530,[None]
531,[None]
532,"['Distrito Federal, Brasil']"
533,[None]
534,[None]
535,"['Rio Grande do Sul, Brasil']"
536,"['Guarulhos, SP, Brasil']"
537,['Brasil']
538,"['ANCAPISTÃO, Brasil']"
539,[None]
540,"['São Paulo, SP ']"
541,['coquitas squad🧚\u200d♀️']
542,"['Campinas, SP']"
543,[None]
544,"['Rio de Janeiro, Brasil']"
545,[None]
546,[None]
547,"['Ouro Preto, Brasil']"
548,['Brazil']
549,[None]
550,['Indeterminada']
551,['Brasil']
552,[None]
553,[None]
554,[None]
555,[None]
556,['MANAUS/ AMAZONAS/BRASIL']
557,"['Rita Vieira, Campo Grande']"
558,[None]
559,[None]
560,['Brasil']
561,"['São Luís, Brasil']"
562,"['São Paulo, Brasil']"
563,[None]
564,"['São Paulo, Brasil']"
565,"['Rio de Janeiro, Brasil']"
