,tweets
0,['Após mais de 8 horas \n-\nFinalmente terminou o depoimento \nde #SergioMoro à Polícia Federal em Curitiba\n\nO ex-minist… https://t.co/fM1dbWGZBB']
1,"['RT @k4lleb3: @veramagalhaes Se ele entregar o exame do Bolsonaro POSITIVO, vira ídolo nacional kkkkkk']"
2,"['RT @DrMarceloFrazo1: Eu não uso twitter PORQUE DETESTO BATE BOCA!\nVou continuar a ENSINAR e a lutar pelo Brasil e por BOLSONARO, esse envia…']"
3,"['RT @Bolsoneas: Ore por Bolsonaro, ore pelo Brasil!\n#OrePorBolsonaro https://t.co/K8wwbiSjDb']"
4,['RT @jpgadelhaof: Moro não é Judas e Bolsonaro não é o Messias. Ambos são políticos que precisam parar de se escorar na Bíblia e assumir sua…']
5,['RT @la_patilla: Bolsonaro llama “judas” a Moro y dice que “nadie dará un golpe” en su contra https://t.co/nHHIBCsTeB…']
6,['RT @claudioedantas: Moro reafirma acusações a Bolsonaro em depoimento na PF https://t.co/kt7K47Niw7']
7,['E a tese e registro a de Adélio no clube de tiro em floripa .no mesmo clube se tiro que bananinha BUNDÃO e carbixa… https://t.co/Q7vPYYfber']
8,['RT @carlosjordy: O indivíduo que grava por 15 meses conversas com um aliado bom sujeito não é. Ainda bem que o Presidente Bolsonaro é uma p…']
9,"['RT @dalebolsonaro: Patriotas em Brasília “recado ao STF, tentem a sorte de com uma canetada covarde fazer algo com o Bolsonaro” #STFInimigo…']"
10,"['RT @IvanValente: Bolsonaro chega junto ao Centrão\n\nAntes inimigos agora amigos, a aproximação mostra que as bravatas de Bolsonaro caem uma…']"
11,"['RT @NPTO: O Vitor Hugo não dá pra julgar pelo mesmo critério dos outros, mas se vc pensar no que ele foi fazer ali, ele se virou. Repetiu s…']"
12,['Ai gente esse povo não cumprindo a quarentena e indo pra festinha tá igual o Bolsonaro desconsiderando que isso é uma pandemia']
13,"['@Camille2293 @bolsolulabot MORO  ARMOU  TUDO,   DESDE   OS  PROCESSOS  DE LULA..É  UM PSICOPATA  PERIGOSO.\nhttps://t.co/oSqUdzjVg1']"
14,"['RT @PATRlOTAS: Moro entregou para PF conversas não só com Bolsonaro, também entregou conversas que teve com ministros do governo. O Judas t…']"
